nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Januari;6702.48586497308;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Februari;6887.82548539277;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Maret;6853.78351429527;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;April;6761.49194820874;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Mei;6772.4610277846;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Juni;6873.45220870716;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Juli;7025.88459039927;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Agustus;7317.51080946779;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;September;7350.79629231867;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Oktober;7391.26841351236;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;November;7457.08289096751;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Desember;7617.45839924904;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2010;Tahunan;7084.29178710636;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Januari;7853.48273219166;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Februari;7612.36703427349;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Maret;7371.25133635533;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;April;7199.02583784235;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Mei;7233.47093754495;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Juni;7463.10493556225;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Juli;7899.40953179512;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Agustus;8152.00692961415;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;September;8255.34222872193;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Oktober;8416.08602733404;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;November;8496.45792664009;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Desember;8726.09192465739;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2011;Tahunan;7889.84144854439;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Januari;8726.09192465739;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Februari;8777.55160744813;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Maret;8687.01351892909;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;April;8582.54649371482;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Mei;8536.8905345471;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Juni;8554.30170541615;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Juli;8606.14830311508;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Agustus;8635.16692123016;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;September;8623.55947398413;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Oktober;8624.33330380053;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;November;8654.51266664021;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Desember;8702.10320034893;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2012;Tahunan;8642.51830448598;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Januari;8834.81501386188;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Februari;8842.9402269341;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Maret;8782.58150125474;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;April;8711.38915814576;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Mei;8681.20979530608;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Juni;8784.41652068754;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Juli;9017.71647561814;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Agustus;9056.66743721819;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;September;9057.98633489469;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Oktober;9108.45953443783;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;November;9152.07011804882;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Desember;9261.99516670206;"Harga Beras"
"Rata-rata Harga Beras di Tingkat Perdagangan Besar (Grosir) Indonesia";"Tidak Ada";2013;Tahunan;8941.02060692582;"Harga Beras"
